date,map_name,game_win,ban_a_us,ban_a_op,ban_d_us,ban_d_op,gtype,nrounds,score_us,score_op,round_1_site,round_1_side,round_1_win,round_1_rtype,round_1_endcondition,round_1_date,ema_round_1_opperator,ema_round_1_kills,ema_round_1_assists,ema_round_1_survived,ema_round_1_entryfrag,ema_round_1_diffuser,ema_round_1_cluth,mihnea_round_1_opperator,mihnea_round_1_kills,mihnea_round_1_assists,mihnea_round_1_survived,mihnea_round_1_entryfrag,mihnea_round_1_diffuser,mihnea_round_1_cluth,round_2_site,round_2_side,round_2_win,round_2_rtype,round_2_endcondition,round_2_date,ema_round_2_opperator,ema_round_2_kills,ema_round_2_assists,ema_round_2_survived,ema_round_2_entryfrag,ema_round_2_diffuser,ema_round_2_cluth,mihnea_round_2_opperator,mihnea_round_2_kills,mihnea_round_2_assists,mihnea_round_2_survived,mihnea_round_2_entryfrag,mihnea_round_2_diffuser,mihnea_round_2_cluth,round_3_site,round_3_side,round_3_win,round_3_rtype,round_3_endcondition,round_3_date,ema_round_3_opperator,ema_round_3_kills,ema_round_3_assists,ema_round_3_survived,ema_round_3_entryfrag,ema_round_3_diffuser,ema_round_3_cluth,mihnea_round_3_opperator,mihnea_round_3_kills,mihnea_round_3_assists,mihnea_round_3_survived,mihnea_round_3_entryfrag,mihnea_round_3_diffuser,mihnea_round_3_cluth,round_4_site,round_4_side,round_4_win,round_4_rtype,round_4_endcondition,round_4_date,ema_round_4_opperator,ema_round_4_kills,ema_round_4_assists,ema_round_4_survived,ema_round_4_entryfrag,ema_round_4_diffuser,ema_round_4_cluth,mihnea_round_4_opperator,mihnea_round_4_kills,mihnea_round_4_assists,mihnea_round_4_survived,mihnea_round_4_entryfrag,mihnea_round_4_diffuser,mihnea_round_4_cluth,round_5_site,round_5_side,round_5_win,round_5_rtype,round_5_endcondition,round_5_date,ema_round_5_opperator,ema_round_5_kills,ema_round_5_assists,ema_round_5_survived,ema_round_5_entryfrag,ema_round_5_diffuser,ema_round_5_cluth,mihnea_round_5_opperator,mihnea_round_5_kills,mihnea_round_5_assists,mihnea_round_5_survived,mihnea_round_5_entryfrag,mihnea_round_5_diffuser,mihnea_round_5_cluth,round_6_site,round_6_side,round_6_win,round_6_rtype,round_6_endcondition,round_6_date,ema_round_6_opperator,ema_round_6_kills,ema_round_6_assists,ema_round_6_survived,ema_round_6_entryfrag,ema_round_6_diffuser,ema_round_6_cluth,mihnea_round_6_opperator,mihnea_round_6_kills,mihnea_round_6_assists,mihnea_round_6_survived,mihnea_round_6_entryfrag,mihnea_round_6_diffuser,mihnea_round_6_cluth,round_7_site,round_7_side,round_7_win,round_7_rtype,round_7_endcondition,round_7_date,ema_round_7_opperator,ema_round_7_kills,ema_round_7_assists,ema_round_7_survived,ema_round_7_entryfrag,ema_round_7_diffuser,ema_round_7_cluth,mihnea_round_7_opperator,mihnea_round_7_kills,mihnea_round_7_assists,mihnea_round_7_survived,mihnea_round_7_entryfrag,mihnea_round_7_diffuser,mihnea_round_7_cluth,round_8_site,round_8_side,round_8_win,round_8_rtype,round_8_endcondition,round_8_date,ema_round_8_opperator,ema_round_8_kills,ema_round_8_assists,ema_round_8_survived,ema_round_8_entryfrag,ema_round_8_diffuser,ema_round_8_cluth,mihnea_round_8_opperator,mihnea_round_8_kills,mihnea_round_8_assists,mihnea_round_8_survived,mihnea_round_8_entryfrag,mihnea_round_8_diffuser,mihnea_round_8_cluth,round_9_site,round_9_side,round_9_win,round_9_rtype,round_9_endcondition,round_9_date,ema_round_9_opperator,ema_round_9_kills,ema_round_9_assists,ema_round_9_survived,ema_round_9_entryfrag,ema_round_9_diffuser,ema_round_9_cluth,mihnea_round_9_opperator,mihnea_round_9_kills,mihnea_round_9_assists,mihnea_round_9_survived,mihnea_round_9_entryfrag,mihnea_round_9_diffuser,mihnea_round_9_cluth
,Clubhouse,False,Jackal,Osa,Kapkan,Fenrir,Ranked,5,1,4,1,attack,False,,,,IQ,1,,False,,,,Ying,,,,,,,2,attack,False,,,,IQ,0,,False,,,,Ying,,,,,,,4,attack,False,,,,Dokkaebi,0,,False,,,,Ying,,,,,,,1,defense,True,,,,Bandit,1.0,,False,,,,Frost,,,,,,,2,defense,False,,,,Echo,0.0,,False,,,,Kaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nighthaven Labs,True,Osa,Thatcher,Warden,Caveira,Ranked,4,4,0,1,defense,True,,,,Bandit,1,,False,,,,Lesion,,,,,,,4,defense,True,,,,Thorn,1,,True,,,,Frost,,,,,,,2,defense,True,,,,Thorn,0,,False,,,,Lesion,,,,,,,1,attack,True,,,,IQ,0.0,,False,,,,Grim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skyscraper,False,Glaz,Jackal,Fenrir,Clash,Ranked,6,2,4,1,attack,False,,,,IQ,1,,False,,,,Iana,,,,,,,2,attack,False,,,,Maverick,0,,False,,,,Grim,,,,,,,3,attack,False,,,,Maverick,0,,False,,,,Grim,,,,,,,1,defense,True,,,,Thorn,0.0,,True,,,,Lesion,,,,,,,2,defense,True,,,,Bandit,2.0,,True,,,,Lesion,,,,,,,3,defense,False,,,,Thorn,2.0,,False,,,,Lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nighthaven Labs,True,Osa,Fuze,Warden,Clash,Ranked,9,5,4,1,defense,True,,,,Bandit,1,,False,,,,Tachanka,,,,,,,2,defense,False,,,,Thorn,0,,False,,,,Solis,,,,,,,4,defense,True,,,,Bandit,0,,False,,,,Frost,,,,,,,1,attack,True,,,,IQ,1.0,,True,,,,Ying,,,,,,,2,attack,False,,,,IQ,0.0,,False,,,,Ying,,,,,,,1,attack,False,,,,IQ,0.0,,False,,,,Ying,,,,,,,1,attack,False,,,,IQ,0.0,,False,,,,Thermite,,,,,,,1,defense,True,,,,Bandit,0.0,,False,,,,Thorn,,,,,,,2,attack,True,,,,Buck,1.0,,False,,,,Ram,,,,,,
,Bank,True,Jackal,Brava,Warden,Clash,Ranked,5,4,1,4,defense,True,,,,Mute,0,,True,,,,Mira,,,,,,,1,defense,True,,,,Bandit,2,,False,,,,Thorn,,,,,,,2,defense,True,,,,Alibi,0,,True,,,,Tachanka,,,,,,,4,attack,False,,,,Thatcher,0.0,,False,,,,Thermite,,,,,,,1,attack,True,,,,IQ,0.0,,False,,,,Grim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outback,True,Jackal,Osa,Caveira,Kapkan,Ranked,5,4,1,1,defense,False,,,,Thorn,0,,False,,,,Lesion,,,,,,,1,defense,True,,,,Thorn,1,,False,,,,Lesion,,,,,,,2,defense,True,,,,Thorn,0,,True,,,,Lesion,,,,,,,1,attack,True,,,,Maverick,1.0,,True,,,,Grim,,,,,,,1,attack,True,,,,Dokkaebi,0.0,,False,,,,Grim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outback,True,Dokkaebi,Montagne,Clash,Fenrir,Ranked,5,4,1,1,attack,False,,,,IQ,0,,False,,,,Grim,,,,,,,2,attack,True,,,,IQ,1,,True,,,,Fuze,,,,,,,3,attack,True,,,,IQ,0,,False,,,,Fuze,,,,,,,1,defense,True,,,,Thorn,1.0,,False,,,,Goyo,,,,,,,2,defense,True,,,,Thorn,0.0,,True,,,,Lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kanal,True,Osa,Thatcher,Caveira,Clash,Ranked,9,5,4,1,attack,True,,,,IQ,0,,True,,,,Iana,,,,,,,4,attack,False,,,,Dokkaebi,0,,False,,,,Ying,,,,,,,3,attack,False,,,,Dokkaebi,0,,False,,,,Iana,,,,,,,1,defense,True,,,,Thorn,2.0,,True,,,,Fenrir,,,,,,,4,defense,True,,,,Thorn,2.0,,True,,,,Lesion,,,,,,,2,defense,False,,,,Thorn,1.0,,False,,,,Lesion,,,,,,,1,attack,True,,,,IQ,2.0,,True,,,,Iana,,,,,,,1,defense,False,,,,Thorn,0.0,,False,,,,Lesion,,,,,,,1,attack,True,,,,IQ,0.0,,True,,,,Iana,,,,,,
,Kafe Dostoyevsky,False,Dokkaebi,Jackal,Clash,Solis,Ranked,6,2,4,1,defense,True,,,,Thorn,0,,True,,,,Lesion,,,,,,,4,defense,False,,,,Thorn,0,,False,,,,Maestro,,,,,,,4,defense,True,,,,Thorn,2,,True,,,,Kaid,,,,,,,1,attack,False,,,,IQ,0.0,,False,,,,Iana,,,,,,,2,attack,False,,,,Buck,0.0,,False,,,,Ying,,,,,,,3,attack,False,,,,Osa,0.0,,False,,,,Ying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oregon,True,Fuze,Dokkaebi,Clash,Kaid,Ranked,4,4,0,1,defense,True,,,,Thorn,1,,True,,,,Mira,,,,,,,2,defense,True,,,,Thorn,2,,True,,,,Lesion,,,,,,,4,defense,True,,,,Mute,0,,False,,,,Mira,,,,,,,1,attack,True,,,,IQ,1.0,,True,,,,Amaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oregon,True,Fuze,Dokkaebi,Fenrir,Solis,Ranked,5,4,1,1,attack,False,,,,Jackal,1,,False,,,,Ying,,,,,,,2,attack,True,,,,Buck,0,,False,,,,Iana,,,,,,,4,attack,True,,,,Osa,0,,False,,,,Ace,,,,,,,4,defense,True,,,,Mute,1.0,,True,,,,Mira,,,,,,,1,defense,True,,,,Thorn,1.0,,False,,,,Lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clubhouse,True,Thatcher,Jackal,Kaid,Fenrir,Ranked,6,4,2,1,attack,True,,,,Lion,0,,False,,,,Ying,,,,,,,2,attack,False,,,,Lion,0,,False,,,,Ying,,,,,,,1,attack,False,,,,Lion,1,,False,,,,Iana,,,,,,,1,defense,True,,,,Mute,1.0,,False,,,,Frost,,,,,,,2,defense,True,,,,Thorn,1.0,,True,,,,Lesion,,,,,,,4,defense,True,,,,Thorn,0.0,,False,,,,Smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nighthaven Labs,True,Blitz,Dokkaebi,Warden,Caveira,Ranked,9,5,4,1,attack,True,,,,IQ,0,,False,,,,Ying,,,,,,,1,attack,True,,,,IQ,0,,False,,,,Ying,,,,,,,1,attack,False,,,,IQ,0,,False,,,,Ying,,,,,,,2,defense,True,,,,Thorn,1.0,,False,,,,Lesion,,,,,,,1,defense,False,,,,Thorn,0.0,,False,,,,Kaid,,,,,,,1,defense,False,,,,Thorn,0.0,,False,,,,Lesion,,,,,,,2,defense,True,,,,Thorn,0.0,,False,,,,Kapkan,,,,,,,1,attack,False,,,,IQ,1.0,,False,,,,Ying,,,,,,,4,defense,True,,,,Bandit,1.0,,False,,,,Lesion,,,,,,
,Chalet,True,Thatcher,Jackal,Solis,Caveira,Ranked,5,4,1,4,defense,False,,,,Mute,0,,False,,,,Mira,,,,,,,4,defense,True,,,,Mute,1,,False,,,,Mira,,,,,,,1,defense,True,,,,Thorn,1,,False,,,,Lesion,,,,,,,1,attack,True,,,,IQ,0.0,,False,,,,Ying,,,,,,,1,attack,True,,,,IQ,1.0,,True,,,,Ying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emerald Plains,True,Fuze,Jackal,Caveira,Clash,Ranked,9,5,4,1,defense,True,,,,Thorn,0,,False,,,,,,,,,,,4,defense,False,,,,Alibi,0,,False,,,,,,,,,,,2,defense,False,,,,Alibi,0,,False,,,,,,,,,,,1,attack,True,,,,IQ,0.0,,False,,,,,,,,,,,4,attack,False,,,,IQ,0.0,,False,,,,,,,,,,,3,attack,True,,,,IQ,0.0,,False,,,,,,,,,,,1,defense,True,,,,Alibi,1.0,,True,,,,,,,,,,,1,attack,False,,,,IQ,1.0,,False,,,,,,,,,,,2,defense,True,,,,Thorn,0.0,,True,,,,,,,,,,
,Coastline,True,Fuze,Sledge,Warden,Clash,Ranked,9,5,4,1,attack,False,,,,IQ,0,,False,,,,,,,,,,,3,attack,False,,,,Jackal,0,,False,,,,,,,,,,,2,attack,True,,,,IQ,0,,False,,,,,,,,,,,1,defense,False,,,,Thorn,1.0,,False,,,,,,,,,,,1,defense,True,,,,Thorn,0.0,,False,,,,,,,,,,,2,defense,True,,,,Thorn,0.0,,False,,,,,,,,,,,1,defense,True,,,,Thorn,0.0,,False,,,,,,,,,,,1,attack,False,,,,Jackal,0.0,,False,,,,,,,,,,,2,defense,True,,,,Thorn,1.0,,True,,,,,,,,,,
,Consulate,True,Dokkaebi,Montagne,Caveira,Fenrir,Ranked,5,4,1,1,attack,True,,,,IQ,0,,True,,,,Ying,,,,,,,4,attack,False,,,,Ram,0,,False,,,,Ying,,,,,,,3,attack,True,,,,IQ,1,,True,,,,Ying,,,,,,,1,defense,True,,,,Thorn,1.0,,True,,,,Lesion,,,,,,,4,defense,True,,,,Thorn,1.0,,True,,,,Azami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Villa,False,Osa,Jackal,Warden,Clash,Ranked,9,4,5,1,defense,False,,,,Thorn,1,,False,,,,Lesion,,,,,,,1,defense,False,,,,Thorn,0,,False,,,,Echo,,,,,,,2,defense,False,,,,Thorn,0,,False,,,,Lesion,,,,,,,1,attack,True,,,,Dokkaebi,0.0,,False,,,,Ying,,,,,,,4,attack,True,,,,Buck,2.0,,True,,,,Ying,,,,,,,2,attack,True,,,,IQ,1.0,,False,,,,Ying,,,,,,,1,attack,True,,,,Dokkaebi,1.0,,True,,,,Ying,,,,,,,1,defense,False,,,,Thorn,3.0,,False,,,,Mira,,,,,,,1,attack,False,,,,IQ,0.0,,False,,,,Ying,,,,,,
,Clubhouse,True,Fuze,Thatcher,Warden,nothing,Ranked,5,4,1,4,attack,True,,,,IQ,2,,True,,,,Ying,,,,,,,1,attack,False,,,,IQ,1,,False,,,,Ying,,,,,,,2,attack,True,,,,Dokkaebi,0,,True,,,,Ying,,,,,,,4,defense,True,,,,Thorn,0.0,,True,,,,Kaid,,,,,,,1,defense,True,,,,Thorn,0.0,,True,,,,Frost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consulate,False,Jackal,Dokkaebi,Warden,Mira,Ranked,4,0,4,1,attack,False,,,,IQ,3,,False,,,,Ying,,,,,,,4,attack,False,,,,nokk,0,,False,,,,Osa,,,,,,,2,attack,False,,,,IQ,1,,False,,,,Iana,,,,,,,1,defense,False,,,,Kapkan,0.0,,False,,,,Lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coastline,False,Dokkaebi,Jackal,Warden,Mira,Ranked,6,2,4,1,attack,False,,,,Glaz,0,,False,,,,Iana,,,,,,,3,attack,False,,,,IQ,0,,False,,,,Ram,,,,,,,2,attack,False,,,,nokk,0,,False,,,,Ying,,,,,,,1,defense,True,,,,Thorn,3.0,,True,,,,Lesion,,,,,,,2,defense,True,,,,Thorn,0.0,,False,,,,Lesion,,,,,,,3,defense,False,,,,Thorn,2.0,,False,,,,Lesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outback,False,Jackal,Blitz,Clash,Fenrir,Ranked,6,2,4,1,defense,False,,,,Thorn,1,,False,,,,Lesion,,,,,,,1,defense,True,,,,Thorn,1,,True,,,,Lesion,,,,,,,2,defense,True,,,,Thorn,1,,True,,,,Lesion,,,,,,,1,attack,False,,,,Glaz,0.0,,False,,,,Ying,,,,,,,2,attack,False,,,,Dokkaebi,1.0,,False,,,,Ying,,,,,,,3,attack,False,,,,Fuze,1.0,,True,,,,Ying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oregon,True,Fuze,Osa,Caveira,Fenrir,Ranked,8,5,3,1,attack,False,,,,IQ,0,,False,,,,Ying,,,,,,,4,attack,False,,,,IQ,0,,False,,,,Grim,,,,,,,2,attack,False,,,,Dokkaebi,0,,False,,,,Grim,,,,,,,4,defense,True,,,,Mute,0.0,,False,,,,Mira,,,,,,,1,defense,True,,,,Thorn,0.0,,True,,,,Mira,,,,,,,2,defense,True,,,,Thorn,0.0,,True,,,,Lesion,,,,,,,1,attack,True,,,,Dokkaebi,1.0,,True,,,,Ying,,,,,,,1,defense,True,,,,Thorn,1.0,,False,,,,Mira,,,,,,,,,,,,,,,,,,,,,,,,,,
